age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,euribor3m,nr.employed,y
52,admin.,divorced,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
43,services,single,5,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
34,housemaid,married,2,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
35,admin.,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
42,entrepreneur,married,4,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
43,technician,married,4,1,2,2,0,may,mon,1,0,1,4.857,5191.0,0
60,retired,divorced,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
58,unemployed,married,1,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
35,services,divorced,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
55,blue-collar,married,3,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
37,management,married,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
36,blue-collar,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
52,admin.,divorced,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
57,blue-collar,divorced,4,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
56,admin.,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
48,blue-collar,divorced,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
40,blue-collar,married,5,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
49,blue-collar,divorced,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
41,services,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
45,technician,married,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
32,admin.,married,6,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
42,admin.,married,6,0,0,2,0,may,mon,2,0,1,4.857,5191.0,0
50,admin.,married,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
31,technician,divorced,7,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
56,retired,married,1,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
41,technician,married,7,1,2,0,0,may,mon,1,0,1,4.857,5191.0,1
37,blue-collar,married,2,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
41,technician,married,7,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
35,blue-collar,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
37,blue-collar,married,2,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
52,management,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
39,management,divorced,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
39,housemaid,married,1,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
56,blue-collar,married,1,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
34,services,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
45,blue-collar,married,3,1,2,0,0,may,mon,1,0,1,4.857,5191.0,1
43,unemployed,single,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
56,management,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
39,management,married,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
53,blue-collar,married,1,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
38,unknown,divorced,5,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,1,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
35,admin.,single,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
40,admin.,married,6,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
51,blue-collar,married,1,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
60,blue-collar,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
56,entrepreneur,married,4,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
39,services,divorced,5,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
56,entrepreneur,married,4,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
40,blue-collar,married,4,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
36,blue-collar,married,3,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
51,blue-collar,married,4,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
51,blue-collar,married,4,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
43,technician,single,7,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
59,services,married,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
24,management,single,6,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
37,blue-collar,single,3,1,2,2,0,may,mon,2,0,1,4.857,5191.0,0
40,blue-collar,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,3,1,0,0,0,may,mon,3,0,1,4.857,5191.0,0
39,services,divorced,5,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
37,entrepreneur,married,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
38,services,married,5,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
56,admin.,divorced,4,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
40,blue-collar,married,4,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
54,management,divorced,6,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
43,blue-collar,married,5,1,0,2,0,may,mon,1,0,1,4.857,5191.0,0
36,services,married,5,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
45,technician,married,6,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
42,admin.,single,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
43,services,married,5,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
46,management,married,3,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
44,services,married,5,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
51,admin.,single,2,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
28,services,married,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
37,blue-collar,married,3,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
34,technician,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
46,blue-collar,married,2,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,3,0,2,2,0,may,mon,2,0,1,4.857,5191.0,1
36,admin.,married,6,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
54,blue-collar,married,1,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
57,management,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
51,technician,married,2,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
54,retired,married,5,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
49,blue-collar,married,1,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
34,admin.,married,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
41,technician,married,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
38,blue-collar,single,3,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
45,management,divorced,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
42,technician,married,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
34,blue-collar,single,3,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
48,blue-collar,married,1,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
37,admin.,married,5,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
34,blue-collar,single,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
40,admin.,married,3,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
43,blue-collar,married,2,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
33,services,married,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
32,services,single,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
39,blue-collar,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
43,admin.,married,4,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
44,blue-collar,married,3,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
35,student,single,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
35,student,single,6,1,2,2,0,may,mon,1,0,1,4.857,5191.0,0
35,unemployed,married,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
36,services,single,1,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
35,student,single,6,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
36,student,single,3,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
55,housemaid,divorced,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
59,admin.,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
57,retired,married,4,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
39,blue-collar,married,7,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
39,housemaid,married,1,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
30,blue-collar,single,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
30,blue-collar,single,4,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
50,housemaid,married,1,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
40,services,married,5,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
35,admin.,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
43,technician,married,4,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
36,services,single,2,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
46,technician,married,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
40,technician,married,3,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
58,retired,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
42,technician,married,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
35,admin.,single,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
43,retired,married,1,1,0,0,0,may,mon,3,0,1,4.857,5191.0,0
45,blue-collar,married,1,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
39,admin.,married,7,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
50,services,divorced,7,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
32,management,divorced,1,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
39,admin.,married,5,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
52,self-employed,married,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
44,admin.,married,7,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
56,blue-collar,married,1,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
48,admin.,married,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
33,services,married,5,1,0,2,0,may,mon,2,0,1,4.857,5191.0,0
43,management,married,6,1,0,2,0,may,mon,3,0,1,4.857,5191.0,0
57,retired,married,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
36,technician,single,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
34,management,married,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
34,services,single,3,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
30,technician,married,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
33,services,divorced,4,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
32,technician,single,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
36,technician,single,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
36,blue-collar,single,5,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
33,services,single,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
40,technician,divorced,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
41,blue-collar,married,1,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
51,services,married,2,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
36,technician,married,7,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
28,services,married,4,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
53,services,married,5,0,2,2,0,may,mon,3,0,1,4.857,5191.0,0
58,blue-collar,married,3,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
45,management,married,3,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
43,technician,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
33,admin.,married,5,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
33,admin.,married,5,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
27,blue-collar,single,2,0,1,1,0,may,mon,1,0,1,4.857,5191.0,0
42,technician,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
43,admin.,divorced,3,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
42,admin.,married,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
27,blue-collar,single,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
34,self-employed,single,6,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
31,student,single,6,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
54,management,divorced,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
40,self-employed,married,1,1,0,0,0,may,mon,3,0,1,4.857,5191.0,0
52,unemployed,married,5,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
47,management,divorced,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
49,housemaid,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
32,admin.,single,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
49,housemaid,single,5,1,2,2,0,may,mon,2,0,1,4.857,5191.0,0
50,blue-collar,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
34,services,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
55,blue-collar,married,1,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
47,technician,single,3,0,0,0,0,may,mon,4,0,1,4.857,5191.0,0
51,retired,married,7,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
47,blue-collar,married,2,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
56,technician,married,1,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
53,admin.,married,3,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
36,blue-collar,married,3,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
42,blue-collar,divorced,3,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
44,blue-collar,divorced,2,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
39,housemaid,married,3,0,2,0,0,may,mon,3,0,1,4.857,5191.0,1
37,admin.,single,5,0,2,2,0,may,mon,2,0,1,4.857,5191.0,0
60,blue-collar,married,4,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
36,services,married,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
42,management,divorced,6,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
31,admin.,married,5,0,2,2,0,may,mon,2,0,1,4.857,5191.0,0
53,technician,divorced,7,1,0,2,0,may,mon,2,0,1,4.857,5191.0,0
45,blue-collar,married,1,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
37,technician,single,7,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
47,self-employed,married,7,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
49,blue-collar,divorced,5,0,0,2,0,may,mon,2,0,1,4.857,5191.0,0
36,admin.,married,6,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
35,services,divorced,5,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
38,unknown,married,4,1,0,0,0,may,mon,4,0,1,4.857,5191.0,0
38,services,single,5,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
50,blue-collar,divorced,5,1,0,2,0,may,mon,2,0,1,4.857,5191.0,0
59,retired,married,7,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
43,unknown,married,4,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
42,admin.,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
40,admin.,married,2,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
46,blue-collar,married,4,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
57,housemaid,divorced,1,0,2,2,0,may,mon,2,0,1,4.857,5191.0,0
42,admin.,married,6,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
41,blue-collar,married,1,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
54,management,divorced,6,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
27,admin.,single,6,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
36,admin.,married,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
58,blue-collar,married,7,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
40,management,married,6,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
34,admin.,single,3,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
33,admin.,divorced,5,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
56,retired,married,2,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
42,blue-collar,married,3,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
43,services,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
54,management,single,3,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
53,admin.,single,2,0,2,2,0,may,mon,2,0,1,4.857,5191.0,0
42,technician,single,4,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
40,services,married,2,1,0,0,0,may,mon,3,0,1,4.857,5191.0,0
54,technician,married,7,0,2,2,0,may,mon,2,0,1,4.857,5191.0,0
40,housemaid,single,7,0,0,0,0,may,mon,4,0,1,4.857,5191.0,0
26,admin.,single,6,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
33,admin.,married,5,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
35,blue-collar,married,3,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
36,admin.,married,5,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
29,services,single,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
36,blue-collar,married,3,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
35,management,married,5,0,2,0,0,may,mon,5,0,1,4.857,5191.0,0
50,self-employed,single,6,0,0,2,0,may,mon,5,0,1,4.857,5191.0,0
46,services,married,5,1,2,0,0,may,mon,3,0,1,4.857,5191.0,0
49,entrepreneur,married,5,0,2,0,0,may,mon,4,0,1,4.857,5191.0,0
42,technician,single,7,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
36,blue-collar,single,5,0,2,2,0,may,mon,3,0,1,4.857,5191.0,0
55,blue-collar,married,3,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
41,management,married,6,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
57,management,married,7,1,2,0,0,may,mon,3,0,1,4.857,5191.0,0
32,services,single,5,0,2,0,0,may,mon,3,0,1,4.857,5191.0,0
49,admin.,married,3,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
57,unknown,married,4,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
