"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","WKGPOP","TOT","PC_POP","A","2011",66.714,
"ISL","WKGPOP","TOT","PC_POP","A","2012",66.52,
"IRL","WKGPOP","TOT","PC_POP","A","2006",68.64,
"IRL","WKGPOP","TOT","PC_POP","A","2007",69.029,
"IRL","WKGPOP","TOT","PC_POP","A","2008",68.849,
"IRL","WKGPOP","TOT","PC_POP","A","2009",68.339,
"IRL","WKGPOP","TOT","PC_POP","A","2010",67.665,
"IRL","WKGPOP","TOT","PC_POP","A","2011",67.031,
"IRL","WKGPOP","TOT","PC_POP","A","2012",66.517,
"ITA","WKGPOP","TOT","PC_POP","A","2006",65.907,
"ITA","WKGPOP","TOT","PC_POP","A","2007",65.761,
"ITA","WKGPOP","TOT","PC_POP","A","2008",65.673,
"ITA","WKGPOP","TOT","PC_POP","A","2009",65.553,
"ITA","WKGPOP","TOT","PC_POP","A","2010",65.459,
"ITA","WKGPOP","TOT","PC_POP","A","2011",65.291,
"ITA","WKGPOP","TOT","PC_POP","A","2012",64.994,
"JPN","WKGPOP","TOT","PC_POP","A","2006",65.532,
"JPN","WKGPOP","TOT","PC_POP","A","2007",64.971,
"JPN","WKGPOP","TOT","PC_POP","A","2008",64.451,
"JPN","WKGPOP","TOT","PC_POP","A","2009",63.91,
"JPN","WKGPOP","TOT","PC_POP","A","2010",63.826,
"JPN","WKGPOP","TOT","PC_POP","A","2011",63.648,
"JPN","WKGPOP","TOT","PC_POP","A","2012",62.875,
"KOR","WKGPOP","TOT","PC_POP","A","2006",72.118,
"KOR","WKGPOP","TOT","PC_POP","A","2007",72.321,
"KOR","WKGPOP","TOT","PC_POP","A","2008",72.546,
"KOR","WKGPOP","TOT","PC_POP","A","2009",72.811,
"KOR","WKGPOP","TOT","PC_POP","A","2010",73.068,
"KOR","WKGPOP","TOT","PC_POP","A","2011",73.393,
"KOR","WKGPOP","TOT","PC_POP","A","2012",73.418,
"LUX","WKGPOP","TOT","PC_POP","A","2006",67.563,
"LUX","WKGPOP","TOT","PC_POP","A","2007",67.748,
"LUX","WKGPOP","TOT","PC_POP","A","2008",67.973,
"LUX","WKGPOP","TOT","PC_POP","A","2009",68.195,
"LUX","WKGPOP","TOT","PC_POP","A","2010",68.411,
"LUX","WKGPOP","TOT","PC_POP","A","2011",68.711,
"LUX","WKGPOP","TOT","PC_POP","A","2012",68.968,
"MEX","WKGPOP","TOT","PC_POP","A","2006",62.905,
"MEX","WKGPOP","TOT","PC_POP","A","2007",63.261,
"MEX","WKGPOP","TOT","PC_POP","A","2008",63.622,
"MEX","WKGPOP","TOT","PC_POP","A","2009",63.978,
"MEX","WKGPOP","TOT","PC_POP","A","2010",64.314,
"MEX","WKGPOP","TOT","PC_POP","A","2011",64.629,
"MEX","WKGPOP","TOT","PC_POP","A","2012",64.916,
"NLD","WKGPOP","TOT","PC_POP","A","2006",67.447,
"NLD","WKGPOP","TOT","PC_POP","A","2007",67.41,
"NLD","WKGPOP","TOT","PC_POP","A","2008",67.33,
"NLD","WKGPOP","TOT","PC_POP","A","2009",67.193,
"NLD","WKGPOP","TOT","PC_POP","A","2010",67.038,
"NLD","WKGPOP","TOT","PC_POP","A","2011",66.707,
"NLD","WKGPOP","TOT","PC_POP","A","2012",66.232,
"NZL","WKGPOP","TOT","PC_POP","A","2006",66.545,
"NZL","WKGPOP","TOT","PC_POP","A","2007",66.462,
"NZL","WKGPOP","TOT","PC_POP","A","2008",66.416,
"NZL","WKGPOP","TOT","PC_POP","A","2009",66.311,
"NZL","WKGPOP","TOT","PC_POP","A","2010",66.174,
"NZL","WKGPOP","TOT","PC_POP","A","2011",65.994,
"NZL","WKGPOP","TOT","PC_POP","A","2012",65.679,
"NOR","WKGPOP","TOT","PC_POP","A","2006",65.876,
"NOR","WKGPOP","TOT","PC_POP","A","2007",66.106,
"NOR","WKGPOP","TOT","PC_POP","A","2008",66.258,
"NOR","WKGPOP","TOT","PC_POP","A","2009",66.27,
"NOR","WKGPOP","TOT","PC_POP","A","2010",66.208,
"NOR","WKGPOP","TOT","PC_POP","A","2011",66.126,
"NOR","WKGPOP","TOT","PC_POP","A","2012",66.03,
"POL","WKGPOP","TOT","PC_POP","A","2006",70.641,
"POL","WKGPOP","TOT","PC_POP","A","2007",70.928,
"POL","WKGPOP","TOT","PC_POP","A","2008",71.151,
"POL","WKGPOP","TOT","PC_POP","A","2009",71.268,
"POL","WKGPOP","TOT","PC_POP","A","2010",71.313,
"POL","WKGPOP","TOT","PC_POP","A","2011",71.221,
"POL","WKGPOP","TOT","PC_POP","A","2012",70.903,
"PRT","WKGPOP","TOT","PC_POP","A","2006",66.745,
"PRT","WKGPOP","TOT","PC_POP","A","2007",66.713,
"PRT","WKGPOP","TOT","PC_POP","A","2008",66.644,
"PRT","WKGPOP","TOT","PC_POP","A","2009",66.514,
"PRT","WKGPOP","TOT","PC_POP","A","2010",66.329,
"PRT","WKGPOP","TOT","PC_POP","A","2011",66.127,
"PRT","WKGPOP","TOT","PC_POP","A","2012",65.936,
"SVK","WKGPOP","TOT","PC_POP","A","2006",71.798,
"SVK","WKGPOP","TOT","PC_POP","A","2007",72.099,
"SVK","WKGPOP","TOT","PC_POP","A","2008",72.331,
"SVK","WKGPOP","TOT","PC_POP","A","2009",72.411,
"SVK","WKGPOP","TOT","PC_POP","A","2010",72.34,
"SVK","WKGPOP","TOT","PC_POP","A","2011",71.906,
"SVK","WKGPOP","TOT","PC_POP","A","2012",71.669,
"ESP","WKGPOP","TOT","PC_POP","A","2006",68.875,
"ESP","WKGPOP","TOT","PC_POP","A","2007",68.946,
"ESP","WKGPOP","TOT","PC_POP","A","2008",68.825,
"ESP","WKGPOP","TOT","PC_POP","A","2009",68.489,
"ESP","WKGPOP","TOT","PC_POP","A","2010",68.092,
"ESP","WKGPOP","TOT","PC_POP","A","2011",67.707,
"ESP","WKGPOP","TOT","PC_POP","A","2012",67.365,
"SWE","WKGPOP","TOT","PC_POP","A","2006",65.546,
"SWE","WKGPOP","TOT","PC_POP","A","2007",65.669,
"SWE","WKGPOP","TOT","PC_POP","A","2008",65.629,
"SWE","WKGPOP","TOT","PC_POP","A","2009",65.436,
"SWE","WKGPOP","TOT","PC_POP","A","2010",65.118,
"SWE","WKGPOP","TOT","PC_POP","A","2011",64.7,
"SWE","WKGPOP","TOT","PC_POP","A","2012",64.235,
"CHE","WKGPOP","TOT","PC_POP","A","2006",68.042,
"CHE","WKGPOP","TOT","PC_POP","A","2007",68.089,
"CHE","WKGPOP","TOT","PC_POP","A","2008",68.12,
"CHE","WKGPOP","TOT","PC_POP","A","2009",68.077,
"CHE","WKGPOP","TOT","PC_POP","A","2010",67.957,
"CHE","WKGPOP","TOT","PC_POP","A","2011",67.896,
"CHE","WKGPOP","TOT","PC_POP","A","2012",67.743,
"TUR","WKGPOP","TOT","PC_POP","A","2006",66.378,
"TUR","WKGPOP","TOT","PC_POP","A","2007",66.673,
"TUR","WKGPOP","TOT","PC_POP","A","2008",66.697,
"TUR","WKGPOP","TOT","PC_POP","A","2009",66.945,
"TUR","WKGPOP","TOT","PC_POP","A","2010",67.085,
"TUR","WKGPOP","TOT","PC_POP","A","2011",67.272,
"TUR","WKGPOP","TOT","PC_POP","A","2012",67.465,
"GBR","WKGPOP","TOT","PC_POP","A","2006",66.259,
"GBR","WKGPOP","TOT","PC_POP","A","2007",66.359,
"GBR","WKGPOP","TOT","PC_POP","A","2008",66.306,
"GBR","WKGPOP","TOT","PC_POP","A","2009",66.183,
"GBR","WKGPOP","TOT","PC_POP","A","2010",66.035,
"GBR","WKGPOP","TOT","PC_POP","A","2011",65.909,
"GBR","WKGPOP","TOT","PC_POP","A","2012",65.38,
"USA","WKGPOP","TOT","PC_POP","A","2006",67.262,
"USA","WKGPOP","TOT","PC_POP","A","2007",67.298,
"USA","WKGPOP","TOT","PC_POP","A","2008",67.219,
"USA","WKGPOP","TOT","PC_POP","A","2009",67.17,
"USA","WKGPOP","TOT","PC_POP","A","2010",67.128,
"USA","WKGPOP","TOT","PC_POP","A","2011",67.096,
"USA","WKGPOP","TOT","PC_POP","A","2012",66.786,
"BRA","WKGPOP","TOT","PC_POP","A","2006",66.591,
"BRA","WKGPOP","TOT","PC_POP","A","2007",66.97,
"BRA","WKGPOP","TOT","PC_POP","A","2008",67.32,
"BRA","WKGPOP","TOT","PC_POP","A","2009",67.651,
"BRA","WKGPOP","TOT","PC_POP","A","2010",67.986,
"BRA","WKGPOP","TOT","PC_POP","A","2011",68.324,
"BRA","WKGPOP","TOT","PC_POP","A","2012",68.642,
"CHL","WKGPOP","TOT","PC_POP","A","2006",67.394,
"CHL","WKGPOP","TOT","PC_POP","A","2007",67.807,
"CHL","WKGPOP","TOT","PC_POP","A","2008",68.123,
"CHL","WKGPOP","TOT","PC_POP","A","2009",68.366,
"CHL","WKGPOP","TOT","PC_POP","A","2010",68.549,
"CHL","WKGPOP","TOT","PC_POP","A","2011",68.687,
"CHL","WKGPOP","TOT","PC_POP","A","2012",68.785,
"COL","WKGPOP","TOT","PC_POP","A","2006",63.174,
"COL","WKGPOP","TOT","PC_POP","A","2007",63.593,
"COL","WKGPOP","TOT","PC_POP","A","2008",63.992,
"COL","WKGPOP","TOT","PC_POP","A","2009",64.357,
"COL","WKGPOP","TOT","PC_POP","A","2010",64.682,
"COL","WKGPOP","TOT","PC_POP","A","2011",64.992,
"COL","WKGPOP","TOT","PC_POP","A","2012",65.259,
"EST","WKGPOP","TOT","PC_POP","A","2006",67.965,
"EST","WKGPOP","TOT","PC_POP","A","2007",67.776,
"EST","WKGPOP","TOT","PC_POP","A","2008",67.669,
"EST","WKGPOP","TOT","PC_POP","A","2009",67.532,
"EST","WKGPOP","TOT","PC_POP","A","2010",67.322,
"EST","WKGPOP","TOT","PC_POP","A","2011",66.99,
"EST","WKGPOP","TOT","PC_POP","A","2012",66.542,
"ISR","WKGPOP","TOT","PC_POP","A","2006",61.767,
"ISR","WKGPOP","TOT","PC_POP","A","2007",61.819,
"ISR","WKGPOP","TOT","PC_POP","A","2008",61.878,
"ISR","WKGPOP","TOT","PC_POP","A","2009",62.314,
"ISR","WKGPOP","TOT","PC_POP","A","2010",62.151,
"ISR","WKGPOP","TOT","PC_POP","A","2011",61.806,
"ISR","WKGPOP","TOT","PC_POP","A","2012",61.553,
"RUS","WKGPOP","TOT","PC_POP","A","2006",71.242,
"RUS","WKGPOP","TOT","PC_POP","A","2007",71.414,
"RUS","WKGPOP","TOT","PC_POP","A","2008",71.68,
"RUS","WKGPOP","TOT","PC_POP","A","2009",71.924,
"RUS","WKGPOP","TOT","PC_POP","A","2010",72.051,
"RUS","WKGPOP","TOT","PC_POP","A","2011",71.885,
"RUS","WKGPOP","TOT","PC_POP","A","2012",71.42,
"SVN","WKGPOP","TOT","PC_POP","A","2006",70.236,
"SVN","WKGPOP","TOT","PC_POP","A","2007",70.059,
"SVN","WKGPOP","TOT","PC_POP","A","2008",69.728,
"SVN","WKGPOP","TOT","PC_POP","A","2009",69.526,
"SVN","WKGPOP","TOT","PC_POP","A","2010",69.342,
"SVN","WKGPOP","TOT","PC_POP","A","2011",69.142,
"SVN","WKGPOP","TOT","PC_POP","A","2012",68.67,
"OECD","WKGPOP","TOT","PC_POP","A","2006",66.786,
"OECD","WKGPOP","TOT","PC_POP","A","2007",66.799,
"OECD","WKGPOP","TOT","PC_POP","A","2008",66.751,
"OECD","WKGPOP","TOT","PC_POP","A","2009",66.691,
"OECD","WKGPOP","TOT","PC_POP","A","2010",66.665,
"OECD","WKGPOP","TOT","PC_POP","A","2011",66.602,
"OECD","WKGPOP","TOT","PC_POP","A","2012",66.357,
"EU28","WKGPOP","TOT","PC_POP","A","2006",67.148,
"EU28","WKGPOP","TOT","PC_POP","A","2007",67.145,
"EU28","WKGPOP","TOT","PC_POP","A","2008",67.085,
"EU28","WKGPOP","TOT","PC_POP","A","2009",66.949,
"EU28","WKGPOP","TOT","PC_POP","A","2010",66.815,
"EU28","WKGPOP","TOT","PC_POP","A","2011",66.607,
"EU28","WKGPOP","TOT","PC_POP","A","2012",66.315,
"LVA","WKGPOP","TOT","PC_POP","A","2006",68.437,
"LVA","WKGPOP","TOT","PC_POP","A","2007",68.396,
"LVA","WKGPOP","TOT","PC_POP","A","2008",68.245,
"LVA","WKGPOP","TOT","PC_POP","A","2009",67.91,
"LVA","WKGPOP","TOT","PC_POP","A","2010",67.577,
"LVA","WKGPOP","TOT","PC_POP","A","2011",67.291,
"LVA","WKGPOP","TOT","PC_POP","A","2012",66.971,
"ARG","WKGPOP","TOT","PC_POP","A","2006",63.265,
"ARG","WKGPOP","TOT","PC_POP","A","2007",63.4,
"ARG","WKGPOP","TOT","PC_POP","A","2008",63.534,
"ARG","WKGPOP","TOT","PC_POP","A","2009",63.669,
"ARG","WKGPOP","TOT","PC_POP","A","2010",63.804,
"ARG","WKGPOP","TOT","PC_POP","A","2011",63.915,
"ARG","WKGPOP","TOT","PC_POP","A","2012",63.995,
"BGR","WKGPOP","TOT","PC_POP","A","2006",69.105,
"BGR","WKGPOP","TOT","PC_POP","A","2007",69.108,
"BGR","WKGPOP","TOT","PC_POP","A","2008",69.006,
"BGR","WKGPOP","TOT","PC_POP","A","2009",68.804,
"BGR","WKGPOP","TOT","PC_POP","A","2010",68.493,
"BGR","WKGPOP","TOT","PC_POP","A","2011",68.042,
"BGR","WKGPOP","TOT","PC_POP","A","2012",67.515,
"CHN","WKGPOP","TOT","PC_POP","A","2006",72.901,
"CHN","WKGPOP","TOT","PC_POP","A","2007",73.291,
"CHN","WKGPOP","TOT","PC_POP","A","2008",73.557,
"CHN","WKGPOP","TOT","PC_POP","A","2009",73.706,
"CHN","WKGPOP","TOT","PC_POP","A","2010",73.751,
"CHN","WKGPOP","TOT","PC_POP","A","2011",73.705,
"CHN","WKGPOP","TOT","PC_POP","A","2012",73.559,
"CRI","WKGPOP","TOT","PC_POP","A","2006",66.63,
"CRI","WKGPOP","TOT","PC_POP","A","2007",67.143,
"CRI","WKGPOP","TOT","PC_POP","A","2008",67.624,
"CRI","WKGPOP","TOT","PC_POP","A","2009",68.007,
"CRI","WKGPOP","TOT","PC_POP","A","2010",68.365,
"CRI","WKGPOP","TOT","PC_POP","A","2011",68.777,
"CRI","WKGPOP","TOT","PC_POP","A","2012",69.054,
"HRV","WKGPOP","TOT","PC_POP","A","2006",66.719,
"HRV","WKGPOP","TOT","PC_POP","A","2007",66.709,
"HRV","WKGPOP","TOT","PC_POP","A","2008",66.69,
"HRV","WKGPOP","TOT","PC_POP","A","2009",66.755,
"HRV","WKGPOP","TOT","PC_POP","A","2010",66.904,
"HRV","WKGPOP","TOT","PC_POP","A","2011",67.007,
"HRV","WKGPOP","TOT","PC_POP","A","2012",66.969,
"CYP","WKGPOP","TOT","PC_POP","A","2006",68.617,
"CYP","WKGPOP","TOT","PC_POP","A","2007",69.09,
"CYP","WKGPOP","TOT","PC_POP","A","2008",69.638,
"CYP","WKGPOP","TOT","PC_POP","A","2009",70.073,
"CYP","WKGPOP","TOT","PC_POP","A","2010",70.377,
"CYP","WKGPOP","TOT","PC_POP","A","2011",70.588,
"CYP","WKGPOP","TOT","PC_POP","A","2012",70.547,
"IND","WKGPOP","TOT","PC_POP","A","2006",62.724,
"IND","WKGPOP","TOT","PC_POP","A","2007",63.014,
"IND","WKGPOP","TOT","PC_POP","A","2008",63.317,
"IND","WKGPOP","TOT","PC_POP","A","2009",63.642,
"IND","WKGPOP","TOT","PC_POP","A","2010",63.994,
"IND","WKGPOP","TOT","PC_POP","A","2011",64.303,
"IND","WKGPOP","TOT","PC_POP","A","2012",64.656,
"IDN","WKGPOP","TOT","PC_POP","A","2006",65.42,
"IDN","WKGPOP","TOT","PC_POP","A","2007",65.658,
"IDN","WKGPOP","TOT","PC_POP","A","2008",65.865,
"IDN","WKGPOP","TOT","PC_POP","A","2009",66.037,
"IDN","WKGPOP","TOT","PC_POP","A","2010",66.452,
"IDN","WKGPOP","TOT","PC_POP","A","2011",66.638,
"IDN","WKGPOP","TOT","PC_POP","A","2012",66.826,
"LTU","WKGPOP","TOT","PC_POP","A","2006",67.236,
"LTU","WKGPOP","TOT","PC_POP","A","2007",67.423,
"LTU","WKGPOP","TOT","PC_POP","A","2008",67.592,
"LTU","WKGPOP","TOT","PC_POP","A","2009",67.682,
"LTU","WKGPOP","TOT","PC_POP","A","2010",67.476,
"LTU","WKGPOP","TOT","PC_POP","A","2011",67.188,
"LTU","WKGPOP","TOT","PC_POP","A","2012",67.096,
"MLT","WKGPOP","TOT","PC_POP","A","2006",69.331,
"MLT","WKGPOP","TOT","PC_POP","A","2007",69.78,
"MLT","WKGPOP","TOT","PC_POP","A","2008",70.074,
"MLT","WKGPOP","TOT","PC_POP","A","2009",69.964,
"MLT","WKGPOP","TOT","PC_POP","A","2010",69.547,
"MLT","WKGPOP","TOT","PC_POP","A","2011",69.044,
"MLT","WKGPOP","TOT","PC_POP","A","2012",68.567,
"ROU","WKGPOP","TOT","PC_POP","A","2006",68.309,
"ROU","WKGPOP","TOT","PC_POP","A","2007",68.265,
"ROU","WKGPOP","TOT","PC_POP","A","2008",68.155,
"ROU","WKGPOP","TOT","PC_POP","A","2009",68.081,
"ROU","WKGPOP","TOT","PC_POP","A","2010",68.057,
"ROU","WKGPOP","TOT","PC_POP","A","2011",68.034,
"ROU","WKGPOP","TOT","PC_POP","A","2012",68.029,
"SAU","WKGPOP","TOT","PC_POP","A","2006",64.044,
"SAU","WKGPOP","TOT","PC_POP","A","2007",64.916,
"SAU","WKGPOP","TOT","PC_POP","A","2008",65.76,
"SAU","WKGPOP","TOT","PC_POP","A","2009",66.536,
"SAU","WKGPOP","TOT","PC_POP","A","2010",67.232,
"SAU","WKGPOP","TOT","PC_POP","A","2011",68.203,
"SAU","WKGPOP","TOT","PC_POP","A","2012",69.072,
"SGP","WKGPOP","TOT","PC_POP","A","2006",72.18,
"SGP","WKGPOP","TOT","PC_POP","A","2007",72.536,
"SGP","WKGPOP","TOT","PC_POP","A","2008",72.901,
"SGP","WKGPOP","TOT","PC_POP","A","2009",73.272,
"SGP","WKGPOP","TOT","PC_POP","A","2010",73.677,
"SGP","WKGPOP","TOT","PC_POP","A","2011",73.885,
"SGP","WKGPOP","TOT","PC_POP","A","2012",73.679,
"ZAF","WKGPOP","TOT","PC_POP","A","2006",64.259,
"ZAF","WKGPOP","TOT","PC_POP","A","2007",64.548,
"ZAF","WKGPOP","TOT","PC_POP","A","2008",64.787,
"ZAF","WKGPOP","TOT","PC_POP","A","2009",64.986,
"ZAF","WKGPOP","TOT","PC_POP","A","2010",65.142,
"ZAF","WKGPOP","TOT","PC_POP","A","2011",65.243,
"ZAF","WKGPOP","TOT","PC_POP","A","2012",65.244,
"WLD","WKGPOP","TOT","PC_POP","A","2006",64.902,
"WLD","WKGPOP","TOT","PC_POP","A","2007",65.115,
"WLD","WKGPOP","TOT","PC_POP","A","2008",65.301,
"WLD","WKGPOP","TOT","PC_POP","A","2009",65.451,
"WLD","WKGPOP","TOT","PC_POP","A","2010",65.564,
"WLD","WKGPOP","TOT","PC_POP","A","2011",65.61,
"WLD","WKGPOP","TOT","PC_POP","A","2012",65.632,
"G20","WKGPOP","TOT","PC_POP","A","2006",67.574,
"G20","WKGPOP","TOT","PC_POP","A","2007",67.8,
"G20","WKGPOP","TOT","PC_POP","A","2008",67.976,
"G20","WKGPOP","TOT","PC_POP","A","2009",68.116,
"G20","WKGPOP","TOT","PC_POP","A","2010",68.255,
"G20","WKGPOP","TOT","PC_POP","A","2011",68.326,
"G20","WKGPOP","TOT","PC_POP","A","2012",68.318,
